Country,Province,Name,Owner,Shareholders,ShareholderNationality,PlantRiver,Latitude,Longitude,Status,Capacity,Year,Capital,Link,
Brasil,Mato Grosso do Sul,Porto Primavera (Eng° Sérgio Motta),Auren Energia S.A.,"Votorantim (37,74%), CPP Investments (32,06%), ações em free float (30,20%)",Brasil,Paraná,-22.47567361,-52.95868500,Operacional,1540,1999,Privado,https://jornaldiadia.com.br/cesp-agora-e-auren-energia/,
Brasil,Bahia,Luiz Gonzaga (Itaparica),Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.14352303,-38.31240468,Operacional,1479,1988,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/LuizGonzaga.aspx,
Brasil,Rio Grande do Sul,Itá,"Itá Energética S/A, Engie Brasil Energia S.A","Consórcio Itá: Engie Brasil Energia (77,7%), Cia Siderúrgica Nacional - CSN, Companhia de Cimento Itambé",França,Uruguai,-27.27671111,-52.38216111,Operacional,1450,2000,Privado,https://www.engie.com.br/usinas/usina-hidreletrica-ita/,
Brasil,Minas Gerais,Marimbondo,Furnas Centrais Elétricas S/A.,Eletrobras Furnas,Brasil,Grande,-20.30295508,-49.19767827,Operacional,1440,1975,Estatal,https://www.furnas.com.br/subsecao/125/usina-de-marimbondo---1440-mw?culture=pt,
Brasil,Paraná,Salto Santiago,Engie Brasil Energia S.A.,Engie,França,Iguaçu,-25.62876331,-52.61452548,Operacional,1420,1980,Privado,https://www.engie.com.br/en/generation-complex/power-plant/salto-santiago-hydroelectric-power-plant/,
Brasil,São Paulo,Água Vermelha (Antiga José Ermírio de Moraes),AES Brasil Operações S.A.,AES ,Estados Unidos,Grande,-19.86315702,-50.34647804,Operacional,1396,1978,Privado,http://www.geografia.seed.pr.gov.br/modules/galeria/detalhe.php?foto=1253&evento=3,
Brasil,Goiás,Serra da Mesa,Furnas Centrais Elétricas S/A.,"CPFL (51%), Eletrobras Furnas (49%)",China,Tocantins,-13.83386362,-48.30485761,Operacional,1275,1998,Misto,https://www.furnas.com.br/serradamesa/?culture=pt,
Brasil,Paraná,Governador Ney Aminthas de Barros Braga (Segredo),Copel Geração e Transmissão S.A.,Copel,Brasil,Iguaçu,-25.79045354,-52.11231046,Operacional,1260,1992,Estatal,https://www.copel.com/site/copel-geracao/usinas/usina-ney-braga/,
Brasil,Paraná,Governador José Richa (Salto Caxias),Copel Geração e Transmissão S.A.,Copel,Brasil,Iguaçu,-25.54305498,-53.49805503,Operacional,1240,1999,Estatal,https://www.copel.com/site/copel-geracao/usinas/usina-jose-richa/,
Brasil,Minas Gerais,Furnas,Furnas Centrais Elétricas S.A.,Eletrobras Furnas,Brasil,Grande,-20.66920345,-46.31825382,Operacional,1216,1963,Estatal,https://www.furnas.com.br/furnas/?culture=pt,
